Name,Z,POINT_X,POINT_Y,NEAR_DIST,Long,Lat,Distance
KapoyaArroket,1707.98,731408.94,9930799.18,4764.01868,35.07927738,-0.625666307,697.3248695
KapoyaArroket,1707.8208,731406.44,9930798.055,4761.277216,35.07925493,-0.625676488,700.0663335
KapoyaArroket,1707.73,731403.94,9930796.93,4758.535752,35.07923248,-0.625686668,702.8077975
KapoyaArroket,1707,731400.6067,9930795.597,4754.945642,35.07920254,-0.625698735,706.3979074
KapoyaArroket,1707,731397.2733,9930794.263,4751.355532,35.07917261,-0.625710802,709.9880172
KapoyaArroket,1708,731393.94,9930792.93,4747.765422,35.07914268,-0.625722869,713.5781271
KapoyaArroket,1708,731390.19,9930791.93,4743.884379,35.079109,-0.625731924,717.4591708
KapoyaArroket,1708,731386.44,9930790.93,4740.003335,35.07907533,-0.625740979,721.3402145
KapoyaArroket,1708,731382.69,9930789.93,4736.122291,35.07904165,-0.625750033,725.2212581
KapoyaArroket,1708,731378.94,9930788.93,4732.241248,35.07900797,-0.625759088,729.1023018
KapoyaArroket,1708.9298,731374.94,9930787.33,4727.933116,35.07897205,-0.625773569,733.4104337
KapoyaArroket,1709,731370.94,9930785.73,4723.624984,35.07893613,-0.625788049,737.7185655
KapoyaArroket,1708.93,731366.94,9930784.13,4719.316852,35.07890021,-0.625802529,742.0266973
KapoyaArroket,1707.6382,731362.94,9930782.53,4715.00872,35.07886429,-0.62581701,746.3348292
KapoyaArroket,1708,731358.94,9930780.93,4710.700588,35.07882837,-0.62583149,750.642961
KapoyaArroket,1708,731355.6067,9930779.513,4707.078703,35.07879844,-0.625844311,754.2648467
KapoyaArroket,1708,731352.2733,9930778.097,4703.456817,35.07876851,-0.625857131,757.8867323
KapoyaArroket,1709,731348.94,9930776.68,4699.834931,35.07873858,-0.625869952,761.5086179
KapoyaArroket,1709,731345.6067,9930774.513,4695.859311,35.07870865,-0.625889553,765.4842381
